# extracted_at=2026-06-04T11:59:10Z source=poi_source_raw source_current_rows=8551
relation_record_id,member_record_ids
relation/15430074,way/1220683998|way/1378298442|way/1378758676|way/1378758677|way/1137769359|way/1137973707|way/1137973712|way/1137973713|way/1137973722|way/1137973723|way/1137973725|way/1137973726|way/1137973727|way/1137973728|way/1137973729|way/1137973734|way/1137973735|way/1137973736|way/1137973737|way/1137973738|way/1137769362|way/1137973739|way/1137973740|way/1137973741|way/1137982687|way/1137982688|way/1137982689|way/1137982690|way/1137982691|way/1137982692|way/1137982693|way/1137982694|way/1137982695|way/1137982696|way/1137982697|way/1138169358|way/1138169359|way/1138169360|way/1138169361|way/1138169367|way/1138169368|way/1138169369|way/1138169371|way/1138169374|way/1138169375|way/1138169377|way/1137973711|way/1138189248|way/1138189249|way/1138189250|way/1138189251|way/1138189253|way/1138189252|way/1138189254|way/1138189255|way/1138189256|way/1138189257|way/1138189259|way/1138189260|way/1138189266|way/1138189267|way/1138189268|way/1167463332|way/1138189247|way/1167463334|way/1167463335|way/1167463336|way/1167463337|way/1167463338|way/1167463339
relation/15433868,way/1137973710|way/1138194425|way/1138189246|way/1137973711|way/1167463331|way/1380202420|way/1380202537|way/1138189247|way/1167463333|way/1138189259|way/1138189258|way/1138189265|way/1138169362|way/1138169361|way/1138169366|way/1138169359|way/1138169363|way/1379206371|way/1379206372|way/1380202548|way/1379206375|way/1138169364|way/1378298453|way/1137973726|way/1137973724|way/1137973707|way/1137973712|way/1137973713|way/1137973722|way/1137973723|way/1137973727|way/1137973728|way/1137973729|way/1137973734|way/1137973735|way/1137973736|way/1137973737|way/1137973738|way/1137973739|way/1137973740|way/1137973741|way/1137982687|way/1137982688|way/1137982689|way/1137982690|way/1137982691|way/1137982692|way/1137982693|way/1137982694|way/1137982695|way/1137982696|way/1137982697|way/1138169367|way/1138169368|way/1138169369|way/1138169371|way/1138169374|way/1138169375|way/1138169377|way/1138189249|way/1138189250|way/1138189251|way/1138189253|way/1138189252|way/1138189254|way/1138189255|way/1138189256|way/1138189257|way/1138189266|way/1138189267|way/1138189268|way/1167463332|way/1167463335|way/1167463336|way/1167463337|way/1167463338|way/1167463339
relation/15434065,way/1138169364|way/1378298454|way/1137982698|way/1137770573|way/1378298426|way/1378298427|way/1379206348|way/1379206349
relation/15437688,way/1138169358|way/1138169362|way/1138169365|way/1379206371|way/1138169363|way/1138169360|way/1138169366|way/1138169372|way/1380202538|way/1138189263|way/1138169373|way/1138189262|way/1138189261|way/1380202539
relation/15437689,way/1138189262|way/1138189264|way/1138169370|way/1138169373
relation/15513197,way/708159467|way/1148006723|way/1148016063|way/1148016061|way/1148016069|way/1148016071|way/1148006722
relation/15513905,way/1148067582|way/1148067583|way/1148069899|way/1148069900|way/1148067572|way/1148069902|way/1148067576|way/1148067578|way/1148067575|way/1148069922|way/1148067579|way/1148016090|way/1148016048|way/1148016067|way/690580173|way/1148016070|way/1148016054|way/1148016087|way/1148016068
relation/15513937,way/1148067574|way/1148069909|way/1148069908|way/1148069901|way/1148069902
relation/15513939,way/1148069913|way/1148069915|way/1148069916|way/1148005216|way/1148069919|way/473193534|way/1148069921|way/1148016072|way/1148016079|way/1148016080|way/1148069912|way/1148069911|way/1148067579|way/473193535
relation/15967306,way/1181005857|way/1181005858|way/1180466582|way/1181005859
relation/16632281,way/1220109957|way/1220109971|way/1220109959|way/1220109960|way/1220109964|way/1220109962|way/1220109963|way/1220109965|way/1220109966|way/1220109967|way/1109911959|way/1220430678|way/1220430661|way/1220430659|way/1220430656|way/1220430662|way/1220430668|way/1220430665|way/1220430672|way/1220430664|way/1220430671|way/1220430663|way/1220430676|way/1220430675|way/1220430669
relation/16632284,way/1220109996|way/1220109988|way/1220109998|way/1220109995|way/1220109999|way/469236218|way/1220110012|way/1220109989|way/1220109983
relation/16632285,way/1220110004|way/1220110001|way/1220110005|way/1220110003|way/1220109998|way/1220109997|way/1220109972|way/1220110002
relation/16640148,way/1220430647|way/1220430648
relation/16640150,way/1220430658|way/1220430656|way/1220430657|way/1220430667|way/1220430665|way/1220430670|way/1220430664|way/1220430663|way/1220430673|way/1220430674|way/1220430677|way/1220430678|way/1220430660|way/1220430675
